cropname,country,r2,adj_r2,ftest_pval,coef_sm_dt,coef_tmax_dt,pval_sm_dt,pval_tmax_dt,model,pval_sm_dt_pass,pval_tmax_dt_pass,ftest_pval_pass
Wheat,Norway,0.10821750767210991,0.014345666374437127,0.33686814754196776,2.0747998490558235,0.0041313400982989044,0.14554095882288418,0.7359847829561361,Satellite,False,False,False
Wheat,Oman,0.08743319349004841,0.0005220690605290956,0.38262999482053994,6.817812682808825,0.02715820732404252,0.1794202708886534,0.5432830727604672,Satellite,False,False,False
Wheat,Pakistan,0.5877899860234336,0.5485318894542368,9.093784317318485e-05,3.4156948099492714,-0.028852330913542557,0.009048786140836339,0.1313553783027202,Satellite,True,False,True
Wheat,Paraguay,0.11256537832080071,0.028047795303734024,0.28538547359921035,3.843496797756701,0.04327348638101321,0.15322867123420547,0.19495899527390426,Satellite,False,False,False
Wheat,Peru,0.16582395444719822,0.08637861677550274,0.1490067700348434,2.2358715215423484,0.011956109307027033,0.06024505374138303,0.29259712151149936,Satellite,False,False,False
Wheat,Poland,0.02579818131046685,-0.06698294427901264,0.7600004124921007,3.407770376019031,0.014690581508295282,0.46723997951752816,0.5582833468313924,Satellite,False,False,False
Wheat,Portugal,0.578925034521885,0.5388226568573027,0.00011370352480446492,9.522475653349403,0.029992545787197532,5.708511363387199e-05,0.3669375544885616,Satellite,True,False,True
Wheat,Republic of Korea,0.2893765430493054,0.22169811857781063,0.027683127920468936,0.5298279292358007,0.05454653626368047,0.7353824934660884,0.00814161966348784,Satellite,False,True,True
Wheat,Republic of Moldova,0.6387529776586957,0.6043484993404762,2.274808792039662e-05,7.959661154010079,-0.0064076623083327705,0.002543465541959793,0.8474626373551083,Satellite,True,False,True
Wheat,Romania,0.5080259876489666,0.4611713198060109,0.0005826298171753656,3.2180656294148724,-0.029311631300991126,0.0875646279073929,0.3136195309354424,Satellite,False,False,True
Wheat,Russian Federation,0.2418327484976236,0.1696263435926353,0.05464277231267864,2.0342537592347014,-0.04872834940117779,0.4096663528582425,0.0750832769448975,Satellite,False,False,False
Wheat,Rwanda,0.09364123459513252,0.003005358054645635,0.3741117871285781,1.420154090108589,0.005024379356727302,0.1667736452113987,0.6487728234584156,Satellite,False,False,False
Wheat,Saudi Arabia,0.018162150620142592,-0.07534621598746294,0.8249309241325784,2.6988011183533365,0.006173491375632445,0.5645481198915335,0.9046843603939454,Satellite,False,False,False
Wheat,Serbia,0.18967758851854544,0.08163460032101821,0.20650657284167132,2.118778116274761,0.02485261553897055,0.10062539066448595,0.12893241481838247,Satellite,False,False,False
Wheat,Slovakia,0.06040427974760498,-0.02908102694309944,0.5198533111087802,0.9331250266304296,0.02647673451924651,0.6408806188711031,0.28152147163801255,Satellite,False,False,False
Wheat,Slovenia,0.3268707996893859,0.26276325680266066,0.015668720069084596,1.9326291592623148,0.04588800236281439,0.2639526834578489,0.005932465357784062,Satellite,False,True,True
Wheat,Somalia,0.6911035008790058,0.6616847866770064,4.395784118727082e-06,17.30196075786353,0.043676193338146665,9.121941725590812e-07,0.4637992479789894,Satellite,True,False,True
Wheat,South Africa,0.5531141188987062,0.510553558793821,0.00021235605796928226,2.9758994230817146,-0.09314826156704265,0.07181442392359978,0.022053933700981954,Satellite,False,True,True
Wheat,Spain,0.3948372388499155,0.337202690168955,0.005124577381006995,8.001741172183166,0.023908257110983357,0.003407581662254397,0.47515677031258197,Satellite,True,False,True
Wheat,Sudan,0.8123026749961981,0.7705921583286865,0.0005377264194288758,5.103513792530487,-0.05308803736945328,0.0018380921809080682,0.009602369514816673,Satellite,True,True,True
Wheat,Sudan (former),0.4718343012700261,0.3544641459966985,0.05655433083373176,11.963112967044186,-0.024307607775689886,0.020933173080359326,0.6292479826070867,Satellite,True,False,False
Wheat,Sweden,0.07534015799537908,-0.012722684100299197,0.439350337661805,-2.3167546105368317,-0.03740270950567318,0.6007954635417517,0.21258797674747149,Satellite,False,False,False
Wheat,Switzerland,0.26176464762958973,0.18794111239254863,0.048078220738871365,0.19735949044766576,0.02275260418600866,0.8898483919246312,0.031865737716271575,Satellite,False,True,True
Wheat,Syrian Arab Republic,0.4272314530763165,0.3726820676550132,0.0028759490715247102,7.323088284069392,-0.03030542151275413,0.004216094776436444,0.4491030387247994,Satellite,True,False,True
Wheat,Tajikistan,0.609460898130521,0.5722666979524753,5.157954340027177e-05,5.321789401269123,-0.025484452964184542,0.0007343451020162886,0.278154172152498,Satellite,True,False,True
Wheat,Thailand,0.0891405269172103,0.002392005671230213,0.3751798313942111,0.04536447827297653,-0.015810793105258868,0.9302058574155931,0.2925034858375959,Satellite,False,False,False
Wheat,Tunisia,0.3416030919314764,0.2788986244963789,0.012420003502463327,10.16462620294684,-0.010608216635575535,0.018916478368800865,0.8802628445629124,Satellite,True,False,True
Wheat,Turkey,0.04677938908488455,-0.04400352624036463,0.6046874495084394,2.7539610948980267,0.0006910649129259552,0.33523683556169925,0.9801223745218947,Satellite,False,False,False
Wheat,Turkmenistan,0.7409663862463169,0.7162965182697757,6.922122905358591e-07,16.239946986803602,0.029203687663839406,3.535790919353591e-05,0.5640723359456022,Satellite,True,False,True
Wheat,Uganda,0.6442862944496058,0.6104087986829017,1.9344445568673472e-05,4.937607617682937,-0.004573111189124706,2.9845122206813736e-05,0.7524071242244961,Satellite,True,False,True
Wheat,Ukraine,0.16274366515498395,0.08300496659831569,0.154886527411697,2.3425655846780398,-0.014643407701861991,0.319932187083777,0.497803808488677,Satellite,False,False,False
Wheat,United Kingdom of Great Britain and Northern Ireland,0.0613623476808981,-0.02803171444473085,0.514314418847424,3.643746607662603,0.041958345243762976,0.5248559686291225,0.28281700105878366,Satellite,False,False,False
Wheat,United Republic of Tanzania,0.8220670990216745,0.8051211084523102,1.3418090732733643e-08,8.131633438121888,-0.022336113501079377,2.436325732363198e-08,0.367389113872265,Satellite,True,False,True
Wheat,United States of America,0.4445204746774508,0.39161766274196985,0.002084560887946993,10.230685963391336,0.0688170174076533,0.0005621946847960539,0.003044813884187587,Satellite,True,True,True
Wheat,Uruguay,0.14151209178491142,0.05566330096340244,0.21744119447217197,1.663388317953012,0.03449166379453551,0.11930200769457908,0.16239954069454685,Satellite,False,False,False
Wheat,Uzbekistan,0.5130031862660842,0.4666225373390446,0.00052362968321737,3.8542551703740022,-0.0022862894008601926,0.0028854816825543968,0.9050148430130736,Satellite,True,False,True
Wheat,Venezuela (Bolivarian Republic of),0.5365387694835766,0.49239960467248856,0.00031127253955237145,5.671159252003377,0.03152646664317964,9.740018609319638e-05,0.3847416613236433,Satellite,True,False,True
Wheat,Yemen,0.7058931661849721,0.6778829915359218,2.626054385421068e-06,19.005138899846216,0.03859546578996004,2.3528605986799523e-06,0.19582934038073865,Satellite,True,False,True
Wheat,Zambia,0.4947536755602231,0.44663497799453,0.0007705187463912812,5.4156024529639115,0.0032863623664010095,0.00020799194874559327,0.8161904039642093,Satellite,True,False,True
Wheat,Zimbabwe,0.6169156821243547,0.5804314613742931,4.21299482355316e-05,5.808309568014631,0.018971442557005218,9.485165189518561e-06,0.3376044728626524,Satellite,True,False,True
Yams,Belize,0.3795075598090111,0.3204130416955835,0.006663972457326772,2.5343084546859806,-0.030071265335672025,0.01944273940331845,0.36147516969035653,Satellite,True,False,True
Yams,Benin,0.2938287898115304,0.22657438884119985,0.025915230908112166,5.366981143192616,0.039518648250112864,0.0079716208013071,0.3361651293116973,Satellite,True,False,True
Yams,Brazil,0.5288927726069479,0.4817820498676426,0.0005385148319443664,4.000219575910516,0.006645558874547125,0.00028466606303727065,0.753739811662876,Satellite,True,False,True
Yams,Burkina Faso,0.6058921359047853,0.5683580536100029,5.674904531827473e-05,6.671011558034932,0.029845805320353826,4.826440130509321e-05,0.3591911077796076,Satellite,True,False,True
Yams,Burundi,0.1574877648150832,0.0732365412965914,0.18020306161391395,1.435610296116414,0.010323446532068802,0.20697495138423214,0.3277029531183975,Satellite,False,False,False
Yams,Cameroon,0.07663209399485538,-0.011307706577063259,0.43294740652344077,1.3931189381171216,0.009791446606415162,0.3631094410320094,0.2858273169114588,Satellite,False,False,False
Yams,Central African Republic,0.16477866782190187,0.08125653460409199,0.16520218232387052,0.5478513636274255,-0.025172042687213767,0.654760806444164,0.10834700319877068,Satellite,False,False,False
Yams,Chad,0.33531164316375306,0.2720079901317295,0.01372428569083713,2.5459346396940936,-0.0009223663094322845,0.005061275057699835,0.9590576805813047,Satellite,True,False,True
Yams,Colombia,0.25385253244974393,0.18279086887352902,0.04620181404400116,1.53428356095721,0.008294050002975537,0.04451976661887627,0.6160739698965609,Satellite,True,False,True
Yams,Comoros,0.13350281174360668,-0.010913386299125527,0.42325582790354455,-1.052820784110602,0.013000935891951376,0.20055263913495014,0.3978800847852352,Satellite,False,False,False
