,iso_a3,model,adj_r2,coef_sm_dt
184,LUX,Satellite,0.29659213463579126,1.924943348041206
185,LUX,Survey,0.018104622261981007,1.6572630310846654
186,LVA,Satellite,0.13683278333079357,-2.902211157941745
187,LVA,Survey,0.011027322148427545,1.8532016159635258
188,MAR,Satellite,0.4506689589415491,16.558959832545842
189,MAR,Survey,0.12665886633304396,8.47706189709407
190,MDA,Satellite,0.5147817134039053,8.331127691659669
191,MDA,Survey,0.3320416323967276,10.029907928857297
192,MDG,Satellite,0.1284802196987358,2.9095095627988368
193,MDG,Survey,-0.03833728514583606,0.6153012937715849
194,MEX,Satellite,0.3799309159945967,4.382421515114494
195,MEX,Survey,0.00332673359013295,2.1164206899507696
196,MKD,Satellite,0.1563700233314448,0.7462768645808169
197,MKD,Survey,0.10295650513549508,-0.3853868691463445
198,MLI,Satellite,0.5025926168043108,5.153681463282693
199,MLI,Survey,-0.002413540676040741,3.5288416374741303
200,MMR,Satellite,0.1713846433532034,2.690661198112298
201,MMR,Survey,-0.02622540371522496,3.3499370105435227
202,MNE,Satellite,-0.00976590685226327,0.2900410465418147
203,MNE,Survey,-0.038257129051044725,1.2725603380931656
204,MNG,Satellite,0.36220317851624756,7.934394245593506
205,MNG,Survey,0.04172115707443441,5.889662003034853
206,MOZ,Satellite,0.1515987036502303,2.4395230392944156
207,MOZ,Survey,0.046350335767597645,1.8653558709397113
208,MRT,Satellite,0.5924991259122484,12.735587927296045
209,MRT,Survey,0.010469557511301903,1.9496657218468583
210,MUS,Satellite,0.2463886957478202,0.6189397669914116
211,MUS,Survey,-0.1242717960680102,-0.17964077760079838
